name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1 bdrm apartment in boerum hill!,8737911,Laura,Brooklyn,Boerum Hill,40.6875,-73.99027,Entire home/apt,125,1,2,1/1/2015,0.04,1,0
Bright Harlem Home in New Building!,12879538,Gregory,Manhattan,Harlem,40.82102,-73.94633,Private room,85,1,21,1/1/2018,0.38,2,343
Luxury Queen Bed_Plush Mattress,22384027,Shahana,Brooklyn,Brownsville,40.67061,-73.91672,Private room,39,1,130,6/21/2019,2.32,10,26
Sunny studio apartment in the heart of Manhattan,3473330,Shira,Manhattan,Kips Bay,40.7401,-73.97994,Entire home/apt,150,2,23,10/28/2018,0.41,1,12
"Country Vibe, Big City Feel",23532244,Wendy,Queens,Astoria,40.77002,-73.91498,Entire home/apt,100,2,18,5/27/2019,0.38,1,83
Entire Apt. in E. Williamsburg,4806989,Ava,Brooklyn,Williamsburg,40.70826,-73.94059,Entire home/apt,189,1,0,,,1,0
Colorful Studio Near Columbia Univ.,2968247,Lauren,Manhattan,Harlem,40.80583,-73.95712,Entire home/apt,99,3,18,8/26/2017,0.33,1,0
Spacious 1 Bedroom in Bohemian Comfort,23538896,DeeDee,Brooklyn,Crown Heights,40.67771,-73.96286,Entire home/apt,167,4,6,1/2/2019,0.12,1,0
"Bright 1BR, central location",23540800,Carl,Manhattan,Hell's Kitchen,40.75381,-73.99491,Entire home/apt,205,2,0,,,1,0
Williamsburg Apartment,10718241,Jason,Brooklyn,Greenpoint,40.7191,-73.94964,Private room,50,1,0,,,1,0
"Perfect 2 Bed Bklyn Apt, near SUNY Downstate!",23548583,Shari,Brooklyn,East Flatbush,40.65262,-73.94211,Entire home/apt,109,30,23,5/1/2019,0.44,2,221
Cozy 1BR Apartment in Astoria,23185328,Deniz,Queens,Ditmars Steinway,40.77672,-73.90878,Entire home/apt,127,2,12,11/23/2016,0.25,2,0
Amazing studio/Loft with a backyard,23569951,Kaveh,Manhattan,Upper East Side,40.7811,-73.94567,Entire home/apt,220,3,28,5/23/2019,0.5,1,293
Your Brooklyn Nook,23570473,James,Brooklyn,Crown Heights,40.67414,-73.95368,Private room,45,1,22,7/2/2019,0.96,3,339
1BR by 1&A trains,23570593,Joshua,Manhattan,Washington Heights,40.84769,-73.93512,Private room,75,2,24,6/30/2019,0.44,1,321
Large 1 bdrm near L in Williamsburg,23573737,Michelle,Brooklyn,Williamsburg,40.71171,-73.94575,Entire home/apt,120,5,1,12/31/2014,0.02,1,0
CHARMING bedroom in BedStuy,23575706,Blair,Brooklyn,Bedford-Stuyvesant,40.6958,-73.94515,Private room,55,1,0,,,1,0
Beautiful Spacious Studio By Park,10411359,Alison,Manhattan,Upper West Side,40.78316,-73.97269,Entire home/apt,120,3,33,7/1/2019,0.62,1,0
Quaint Brownstone with Garden,1443186,Ash,Manhattan,East Harlem,40.80985,-73.93919,Entire home/apt,108,4,3,8/29/2016,0.07,1,0
Cozy One Bedroom in Williamsburg!,22089583,Cesar,Brooklyn,Williamsburg,40.71901,-73.95618,Entire home/apt,200,3,3,10/22/2015,0.05,1,0
"Studio Space, 10 minutes to Central Park and river",6571805,Agata,Manhattan,Upper West Side,40.79407,-73.97679,Shared room,55,2,54,6/26/2019,1.4,2,336
Central Harlem ,23588055,Genine,Manhattan,Harlem,40.81208,-73.94243,Private room,205,2,3,7/10/2018,0.05,1,364
Large Room with Private Bathroom,2748575,Charlotte,Manhattan,Hell's Kitchen,40.75506,-73.99622,Private room,129,4,0,,,1,0
Charming apt close to everything!,19196381,Kimia,Manhattan,Upper East Side,40.77127,-73.95108,Entire home/apt,150,3,74,5/27/2019,1.33,1,263
Greenwich/West Village Private Room,15778416,Courtney,Manhattan,West Village,40.73033,-74.00284,Private room,110,1,0,,,2,0
Bright! LARGE 2 BEDS near Manhattan,23591164,Angela,Queens,East Elmhurst,40.76539,-73.87636,Private room,65,1,356,6/23/2019,6.31,4,341
"2BR, 2 Full Bath, SPACE, Short term monthly",785283,Melinda,Queens,Ditmars Steinway,40.77648,-73.91595,Entire home/apt,150,28,50,5/5/2019,0.89,2,38
Bright LARGE 2 BEDS! near Manhattan,23591164,Angela,Queens,East Elmhurst,40.7668,-73.87759,Private room,65,1,426,6/17/2019,7.53,4,312
Cozy & Clean #3,23533897,Fatou,Brooklyn,Crown Heights,40.6759,-73.95274,Private room,75,1,77,6/11/2019,1.4,7,340
Cozy & Clean #4,23533897,Fatou,Brooklyn,Crown Heights,40.67565,-73.95121,Private room,85,2,37,5/19/2019,0.67,7,325
Brownstone Williamsburg room with skylight Create,2480939,Charles,Brooklyn,Williamsburg,40.71839,-73.95996,Private room,58,1,210,7/2/2019,3.8,3,217
Art Large bedroom  Brownstone for 1 or 2 persons,2480939,Charles,Brooklyn,Williamsburg,40.71994,-73.9599,Private room,90,1,194,7/5/2019,3.81,3,229
"Bright and Spacious, near the Park",20042936,Yarimar,Brooklyn,Prospect Heights,40.67376,-73.96373,Entire home/apt,120,5,1,5/17/2016,0.03,1,0
Bright and Cheerful Prospect Heights 1-bedroom,22568612,Ilana,Brooklyn,Prospect Heights,40.6803,-73.97185,Entire home/apt,115,6,3,8/27/2017,0.06,1,0
"Clean, Cozy, Close to City (15min)",23342410,Amy,Queens,Long Island City,40.75985,-73.92979,Entire home/apt,99,2,0,,,1,0
Lovely One Bedroom Heart Of Astoria,22348314,Mike,Queens,Astoria,40.76542,-73.92115,Entire home/apt,105,25,14,7/31/2018,0.27,1,277
Private Room in Spacious Uptown Apt,23612276,Janine Renee,Manhattan,Harlem,40.82083,-73.95436,Private room,69,7,15,6/11/2019,0.27,1,213
"Beautiful, Spacious Room in Loft",3074432,Minka,Brooklyn,Greenpoint,40.73298,-73.95813,Private room,80,1,0,,,1,0
Cozy 1BD Apartment near Manhattan,6246089,Sara,Queens,Astoria,40.76587,-73.92157,Entire home/apt,125,5,27,6/5/2019,0.5,1,2
Holiday in Manhattan!  Great Views!,7257731,Anna,Manhattan,Inwood,40.86335,-73.92822,Entire home/apt,90,7,7,6/21/2019,0.15,1,249
Spacious Studio in Brooklyn,23629361,Paris,Brooklyn,Crown Heights,40.66953,-73.92686,Entire home/apt,80,7,0,,,1,0
$99 Manhattan/Time Sq.,23635670,Johnny,Manhattan,Hell's Kitchen,40.75856,-73.99569,Private room,125,1,186,7/7/2019,3.33,1,271
MIDTOWN APARTMENT WITH SPECTACULAR VIEW,22885233,Peter,Manhattan,Hell's Kitchen,40.76575,-73.99241,Entire home/apt,215,6,39,6/1/2019,1.57,1,24
HEART of NEW YORK // ï¾†ï½­ï½°ï¾–ï½°ï½¸ã®ä¸­å¿ƒ,23659408,Marcello,Manhattan,Hell's Kitchen,40.75811,-73.99073,Entire home/apt,107,21,193,10/27/2017,3.42,1,310
"Sunny, Quiet Queen Bedroom, Best Block in LES",619991,David,Manhattan,Lower East Side,40.72082,-73.98952,Private room,89,4,91,6/1/2019,1.86,1,16
"Woodsy-chic Lofted 1BR, Office, AC",1019170,Sebastian,Manhattan,East Village,40.72312,-73.98255,Entire home/apt,175,2,81,6/27/2018,1.59,1,0
Spacious 2 Bedroom + Study,54712,Nick,Brooklyn,Greenpoint,40.73351,-73.95459,Entire home/apt,245,3,0,,,2,280
Spacious 2BR Greenpoint Getaway,54712,Nick,Brooklyn,Greenpoint,40.73455,-73.95489,Entire home/apt,245,3,0,,,2,0
Penthouse loft with private patio,3814458,Ole,Manhattan,Midtown,40.75186,-73.98557,Entire home/apt,450,3,12,4/10/2016,0.23,1,0
1 bedroom in Cozy 2 bedroom upper west side,23671946,Yonatan,Manhattan,Harlem,40.81622,-73.95885,Private room,100,3,0,,,2,0
10 Minutes From Manhattan,23673285,Marisa,Queens,Astoria,40.76413,-73.92374,Entire home/apt,98,6,38,6/2/2019,0.67,1,306
Room #2 Near Manhattan NYC.,22384027,Shahana,Brooklyn,Brownsville,40.67068,-73.91633,Private room,39,1,89,8/16/2018,1.57,10,0
Cozy 2BD Near Columbia Univ,23671946,Yonatan,Manhattan,Morningside Heights,40.81473,-73.96039,Entire home/apt,160,4,10,6/2/2019,0.43,2,0
2 Bdr Cozy Apartment in Park Slope,22935835,Gislane,Brooklyn,South Slope,40.66616,-73.99009,Entire home/apt,150,2,0,,,1,0
â˜…3BR/2BA Amazing East Village Penthouse+Pvt Terrâ˜…,1277144,T.,Manhattan,East Village,40.72809,-73.98188,Entire home/apt,299,2,63,6/1/2019,1.15,1,210
Lovely Studio on the edge of the McGolrick Park,5650951,Simon,Brooklyn,Greenpoint,40.7249,-73.94528,Private room,75,8,6,11/5/2018,0.14,1,0
Park Slope - Furnished  room in 2BR,23697064,Matt,Brooklyn,South Slope,40.66289,-73.98176,Private room,99,5,1,10/9/2015,0.02,1,0
Funky East Village Garden Apt.,23699355,Harmony And Eric,Manhattan,East Village,40.7309,-73.98785,Entire home/apt,165,2,40,6/29/2016,0.73,1,0
Columbia UWS 1BD Apt-Quiet & Comfy,14768898,Yiyi,Manhattan,Morningside Heights,40.80747,-73.9603,Entire home/apt,145,1,12,9/8/2015,0.21,1,0
Cool & Cozy 2B/1BA in prime LES!,23708028,Ivan,Manhattan,Lower East Side,40.72058,-73.98674,Entire home/apt,239,3,145,6/30/2019,2.63,1,1
Private BR in 2 BR Modern Apartment,21935479,Crysdian,Manhattan,Inwood,40.86821,-73.92128,Private room,76,2,70,6/8/2019,1.37,1,352
GREAT SPACIOUS PRIVATE ROOM,11308807,Mathew,Manhattan,Harlem,40.82158,-73.9533,Private room,65,1,0,,,2,0
Bright and Cozy Bedroom NYC A1,20559017,Yohan,Manhattan,East Harlem,40.78617,-73.94421,Private room,60,30,2,8/26/2017,0.04,9,312
Zen Den & Modern Outdoor Space,23038979,Carmen,Brooklyn,Cypress Hills,40.68711,-73.87336,Entire home/apt,50,3,114,6/24/2019,2.02,1,18
Brooklyn Brownstone Beauty,22017065,Marycatherine,Brooklyn,Prospect Heights,40.68137,-73.97081,Entire home/apt,250,3,27,7/5/2019,0.49,1,266
"Charming apt. in Brooklyn, New York",4362140,MarÃ­a,Brooklyn,Bedford-Stuyvesant,40.68798,-73.95678,Entire home/apt,140,3,11,9/22/2015,0.2,1,0
CHARMING 1-BD w CITY VIEWS,4263114,LeeAnne,Manhattan,Hell's Kitchen,40.76612,-73.99324,Entire home/apt,125,5,5,8/24/2015,0.09,1,0
æ›¼å“ˆé¡¿ä¸Šè¥¿åŒºæž—è‚¯ä¸­å¿ƒé™„è¿‘ä¼˜è´¨å…¬å¯“çŸ­ç§Ÿ!,23748343,Apple,Manhattan,Upper West Side,40.77334,-73.99031,Shared room,80,1,0,,,1,0
,21600904,Lucie,Brooklyn,Williamsburg,40.7137,-73.94378,Private room,150,1,0,,,1,0
"Clean, Cozy - South ParkSlope - NYC",4618480,Justin,Brooklyn,Sunset Park,40.65687,-74.00489,Private room,75,1,0,,,1,0
Thanksgiving Vacation ,23751556,Tai,Manhattan,Hell's Kitchen,40.75835,-73.99286,Private room,200,4,0,,,1,0
Comfortable one bedroom with patio,23754530,Josh,Brooklyn,Fort Greene,40.68859,-73.9767,Entire home/apt,150,2,99,6/29/2019,1.77,1,246
Prime Williamsburg duplex Bedford L,6780571,Julia,Brooklyn,Williamsburg,40.71765,-73.95772,Entire home/apt,220,2,79,6/25/2019,1.62,1,143
Between Central Park and the Subway,13161042,Tom,Manhattan,Upper East Side,40.78555,-73.95311,Entire home/apt,180,2,18,7/30/2017,0.33,1,0
"NYC, Modern and Spacious Apt fits 6",23208658,Iryna,Manhattan,East Harlem,40.79826,-73.94145,Entire home/apt,260,3,20,6/20/2019,2.74,3,283
Artist Loft in Greenpoint/Williamsb,23677128,Darby,Brooklyn,Greenpoint,40.72712,-73.95499,Private room,80,1,0,,,1,0
East Village Townhouse,8503180,Kathy,Manhattan,East Village,40.73118,-73.98885,Entire home/apt,1500,30,24,4/22/2019,0.43,2,358
Vintage Room  in  Brooklyn,23776693,Bev,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92925,Private room,50,2,100,7/4/2019,3.21,3,260
Bright 3 bdrm in East Village,23778946,Katie,Manhattan,East Village,40.72523,-73.97999,Entire home/apt,400,3,1,1/2/2015,0.02,1,0
New 2 br Apt Williamsburg,3693416,Carolina,Brooklyn,Greenpoint,40.72214,-73.94835,Entire home/apt,450,1,0,,,1,0
"UWS Penthouse, Amazing Deck",1500858,Adrienne,Manhattan,Upper West Side,40.77926,-73.97877,Entire home/apt,225,30,7,6/18/2015,0.13,1,173
Gorgeous bohemian  Apt. in a Brownstone,66286,Liat,Brooklyn,Bedford-Stuyvesant,40.68596,-73.94068,Entire home/apt,100,2,2,8/8/2017,0.05,2,0
One Bedroom East Village New York,5926785,Cynthia,Manhattan,East Village,40.72556,-73.98504,Entire home/apt,205,1,0,,,1,0
Cozy bedroom in a luxury building with 24h doorman,7852646,Tysha,Brooklyn,Fort Greene,40.69563,-73.98193,Private room,110,1,38,7/7/2019,2.06,1,46
Private Terrace in Brooklyn!,4445796,Courtney,Brooklyn,Greenpoint,40.72557,-73.95243,Private room,95,1,7,6/2/2015,0.14,1,0
1 Bedroom Apt in Hell's Kitchen !,23810895,Scott & Ellyn,Manhattan,Hell's Kitchen,40.7592,-73.98902,Entire home/apt,150,2,42,6/18/2019,0.76,1,258
Sunny & spacious 1 bedroom gem!,23812318,Chelsea,Queens,Jackson Heights,40.75401,-73.88236,Entire home/apt,100,2,21,4/8/2019,0.38,1,124
Charming and Convenient Garden Apt,5050537,Melissa,Brooklyn,Bedford-Stuyvesant,40.68402,-73.94164,Entire home/apt,69,1,40,6/19/2019,0.83,1,3
Furnished 2BR in UES (30 DAYS MIN),23772724,Elem,Manhattan,Upper East Side,40.78302,-73.94647,Entire home/apt,110,30,12,2/18/2019,0.27,15,332
Spacious Full 2br Holiday Home ,1520215,Brad,Brooklyn,Boerum Hill,40.68598,-73.98004,Entire home/apt,250,3,0,,,1,0
Nice and cozy near Laguardia,23824219,Joshua,Queens,East Elmhurst,40.75943,-73.89553,Private room,44,3,46,3/17/2019,0.83,1,88
"Hamilton Hts Beauty, Manhattan 1 BR",23834677,Kumar,Manhattan,Harlem,40.82863,-73.94358,Entire home/apt,155,1,242,6/30/2019,4.4,2,238
Beautiful 2 BR Apt UES- Min 30 Days,15310997,Mor,Manhattan,Upper East Side,40.78318,-73.94556,Entire home/apt,300,30,10,2/28/2019,0.19,9,331
Cozy private bedroom in Manhattan,23847354,Nicole,Manhattan,East Harlem,40.78882,-73.94869,Private room,67,1,2,2/7/2016,0.05,1,0
Great 2 bedroom Greenpoint BK,6949069,Laura,Brooklyn,Greenpoint,40.72403,-73.95055,Entire home/apt,175,4,2,12/30/2015,0.04,1,0
Spacious 1BR Apt in Greenpoint,45609,Sean,Brooklyn,Greenpoint,40.73132,-73.95831,Entire home/apt,149,15,22,4/30/2019,0.39,1,0
BRIGHT MODERN BEDROOM,23718461,Ingrid,Brooklyn,Flatlands,40.62949,-73.92703,Private room,85,2,0,,,1,365
Confortable and private room.,23861788,Luis&Victor,Brooklyn,Bedford-Stuyvesant,40.70007,-73.94338,Private room,75,2,224,7/3/2019,4.44,1,74
Private Room & Bathroom in LES,23575977,Carly,Manhattan,Two Bridges,40.71205,-73.99463,Private room,120,5,0,,,1,0
Large Sunny Bedroom With great View,23788242,Suzanne,Brooklyn,Bedford-Stuyvesant,40.68853,-73.9498,Private room,100,3,50,6/15/2019,1.08,1,339
Studio with Loft bed by the river,23867361,Kurt,Manhattan,Upper West Side,40.79284,-73.97675,Entire home/apt,129,12,20,5/1/2019,0.37,1,193
Coziest 2BD Brownstone in Jefftown,3184878,Maggie,Brooklyn,Bushwick,40.70545,-73.91929,Entire home/apt,150,1,1,3/17/2015,0.02,1,0
Radiant 2bed E Village Apartment,23862900,Cecily,Manhattan,East Village,40.72887,-73.98633,Entire home/apt,219,5,1,12/26/2014,0.02,1,0
Uptown Convenience & Comfort,23870076,Sam,Manhattan,Morningside Heights,40.80549,-73.96393,Entire home/apt,185,3,10,8/24/2018,0.38,1,0
Private Room 2 Beds New York City!,23591164,Angela,Queens,East Elmhurst,40.7661,-73.87739,Private room,65,1,21,7/27/2017,0.38,4,0
LOVELY  LARGE SUNNY ROOM    Sunset Park,1113080,Audrey,Brooklyn,Sunset Park,40.64722,-74.00475,Private room,55,7,98,5/22/2019,1.75,3,312
Christmas Harlem! Duplex,626876,Kimberly,Manhattan,Washington Heights,40.83653,-73.94277,Entire home/apt,350,3,0,,,3,0
Large 1 bedroom apt - can sleep 4,11702175,Meghan,Manhattan,East Harlem,40.79038,-73.94412,Entire home/apt,170,3,6,1/1/2017,0.11,1,0
Upper East Side Manhattan,626876,Kimberly,Manhattan,Upper East Side,40.77963,-73.94864,Private room,250,1,0,,,3,0
Upper East Side Manhattan #2,626876,Kimberly,Manhattan,Upper East Side,40.77941,-73.94862,Private room,250,1,0,,,3,0
Bushwick Pad,21906247,Sam,Brooklyn,Bedford-Stuyvesant,40.69295,-73.93537,Private room,70,1,0,,,1,0
New York City Studio,23899573,Oscar,Manhattan,Hell's Kitchen,40.76679,-73.98598,Entire home/apt,150,7,23,6/26/2016,0.42,1,0
"Big Kitchen, Beautiful Bathroom",16437254,Benjamin,Brooklyn,Sunset Park,40.6642,-73.99322,Entire home/apt,172,30,5,6/25/2019,0.09,21,328
Stay on St. Marks Place for your NYC Vacation!,4293340,Teena,Manhattan,East Village,40.72764,-73.98748,Private room,79,2,2,12/25/2017,0.1,1,0
Bright Studio on Riverside Park,8530836,Katarina,Manhattan,Harlem,40.82458,-73.95223,Entire home/apt,100,4,5,9/25/2017,0.09,1,105
"2 Bedroom, 1 Bath Hell's Kitchen",1698391,Pat,Manhattan,Hell's Kitchen,40.76142,-73.99177,Entire home/apt,272,2,7,4/30/2019,0.13,3,277
Charming Bedroom in Cozy NYC Apt.,22350590,Veronica,Manhattan,Harlem,40.82351,-73.94047,Private room,85,10,57,6/10/2019,1.03,1,6
Lofted duplex in Kips Bay,23073152,Cara,Manhattan,Kips Bay,40.7396,-73.98228,Entire home/apt,350,2,0,,,1,0
Upper East Side Spacious 2 Bedrooms,23915731,Helene,Manhattan,Upper East Side,40.77439,-73.94965,Entire home/apt,249,3,1,7/19/2016,0.03,1,0
Cozy sun drenched 2br Fort Greene,1403669,Simone,Brooklyn,Fort Greene,40.68547,-73.96886,Entire home/apt,180,4,20,9/5/2018,0.39,1,208
Colorful Room in Crown Heights,6028908,Kelly,Brooklyn,Crown Heights,40.67569,-73.95548,Private room,38,10,0,,,1,0
One bedroom loft in West Village ,23929065,Eli,Manhattan,West Village,40.73173,-74.00904,Entire home/apt,450,3,0,,,1,0
Cozy bedroom in heart of Manhattan,1599319,Lakshmi,Manhattan,Little Italy,40.71954,-73.9975,Private room,60,7,5,4/26/2016,0.09,1,0
1br - Williamsburg Luxury Sublet ,12511067,Jaclyn,Brooklyn,Williamsburg,40.718,-73.95344,Entire home/apt,95,1,0,,,1,0
"Tranquil, clean bedroom,",23935018,Marlon,Brooklyn,Bedford-Stuyvesant,40.68175,-73.95417,Private room,85,3,1,10/24/2015,0.02,1,0
Beautiful one bedroom apt 850 sqf!!,21685221,Sael,Manhattan,Upper West Side,40.79293,-73.97126,Entire home/apt,199,1,0,,,1,0
"Cozy 2 bedroom, near Central Park",23899821,Maria,Manhattan,Upper West Side,40.78604,-73.97363,Entire home/apt,260,2,54,7/1/2019,0.98,1,16
Gramercy~New 1BR~Sleeps4~Rono~,2119276,Host,Manhattan,Gramercy,40.73346,-73.98216,Entire home/apt,140,30,7,9/10/2018,0.13,39,332
Prime Union Square! Large 1BR~Great value,2119276,Host,Manhattan,Gramercy,40.7339,-73.98548,Entire home/apt,185,30,5,1/24/2019,0.1,39,1
Spacious 1BD in lovely Clinton Hill,7947211,Meredith,Brooklyn,Prospect Heights,40.68153,-73.96669,Entire home/apt,126,1,44,7/2/2019,0.78,1,7
Huge LES 3 BD 3 BA Elevator + Patio,2593268,Rose,Manhattan,Chinatown,40.7157,-73.99094,Entire home/apt,399,2,122,6/15/2019,2.24,1,109
Bright and Charming Studio East V.,23945185,Natalia,Manhattan,East Village,40.726,-73.97773,Entire home/apt,100,7,6,3/2/2016,0.11,1,0
Victorian with Stunning Views of NYC Harbor,22506665,William,Staten Island,St. George,40.64571,-74.07835,Entire home/apt,1000,1,0,,,1,364
Historic Brownstone Duplex,1136842,Amanda,Brooklyn,Fort Greene,40.69249,-73.97068,Entire home/apt,225,7,3,1/1/2019,0.05,1,44
Great deal in Heart of Greenpoint,2378231,Romy,Brooklyn,Greenpoint,40.73108,-73.95416,Entire home/apt,85,4,4,12/29/2015,0.07,1,0
Bright + Cheerful Apt- the Real NYC,23267314,Millie,Manhattan,East Harlem,40.79127,-73.94431,Entire home/apt,147,2,45,5/15/2019,0.92,2,154
Financial District Oasis-Queen Bedroom,9072771,Kindra,Manhattan,Financial District,40.70581,-74.00948,Private room,90,14,8,5/29/2019,0.23,2,146
Modern Duplex with yard  in Bedstuy,23952819,Jason,Brooklyn,Bedford-Stuyvesant,40.68589,-73.93286,Entire home/apt,500,1,1,8/30/2015,0.02,2,362
Flatbush Gardens II,23162890,Terrance,Brooklyn,Flatbush,40.65039,-73.96393,Private room,72,3,37,10/15/2018,0.66,2,334
Bedroom and art studio/office space,7799229,Artem,Brooklyn,Williamsburg,40.71387,-73.95652,Private room,41,4,14,10/6/2018,0.37,2,0
Bright and Sunny Williamsburg Oasis,6465286,Masha,Brooklyn,Williamsburg,40.71191,-73.96376,Entire home/apt,180,3,103,6/6/2019,1.92,2,0
Cozy Room in NYC!  =),23971734,Rene,Queens,Sunnyside,40.73978,-73.92124,Private room,67,5,4,10/26/2016,0.07,1,0
Brooklyn - Funky 1 Bedroom,3754729,Mike,Brooklyn,Bushwick,40.69087,-73.90917,Entire home/apt,122,3,48,6/4/2019,0.87,1,256
"ENTIRE home - Modern, huge, sunny 2BD",23974215,Alex,Manhattan,Harlem,40.80797,-73.95181,Entire home/apt,105,3,29,3/20/2019,0.52,2,0
Coozy Room In Park Slope.,22503794,Shawn,Brooklyn,South Slope,40.66238,-73.98457,Private room,95,1,2,8/8/2015,0.04,1,364
Sunny Studio,23971405,Monica,Queens,Kew Gardens,40.70705,-73.83346,Entire home/apt,100,2,1,1/2/2016,0.02,1,0
"Super Quiet, Private Patio",16437254,Benjamin,Brooklyn,Boerum Hill,40.68851,-73.98655,Entire home/apt,130,30,3,9/3/2017,0.07,21,312
Queen Sized Bedroom in Spacious Apartment,6762751,Alexander,Manhattan,Harlem,40.80096,-73.95776,Private room,107,2,92,5/20/2019,1.64,1,157
Location Top Manhattan,3250450,Petya,Manhattan,Upper West Side,40.78628,-73.97264,Private room,100,30,12,5/23/2017,0.24,18,364
"Spacious, rustic barn style bedroom",23991556,Natasha,Bronx,Concourse,40.83719,-73.92015,Private room,85,1,9,10/16/2017,0.18,1,342
Room 15 min from Manhttn.,23993707,Bogna,Queens,Woodside,40.74626,-73.89727,Private room,30,5,2,12/29/2017,0.04,2,0
Modern Studio with Loft in the LES.,23876129,Juan Carlos,Manhattan,Chinatown,40.71648,-73.9912,Entire home/apt,175,4,57,3/2/2017,1.04,1,0
1x furnished Bdr in 2Bdr Apt-Wburg,24006197,Piper,Brooklyn,Williamsburg,40.7118,-73.93729,Private room,95,1,0,,,1,0
"Sunny, Spacious 1 Bdrm in E. Vil.",24007762,Kate,Manhattan,East Village,40.72639,-73.98827,Entire home/apt,125,1,8,3/2/2018,0.15,1,0
Nice room 15 min from Manhattan!,23993707,Bogna,Queens,Woodside,40.74668,-73.89723,Private room,35,5,9,12/30/2018,0.16,2,0
æ³•æ‹‰ç››ä¸­å¿ƒæ¸©é¦¨ä¸¤æˆ¿ä¸¤åŽ…å…¬å¯“ï½¡è¿‘ä¸€åˆ‡ï½¡2 br close to everything,12459436,Zena,Queens,Flushing,40.75398,-73.82778,Entire home/apt,119,3,26,6/30/2019,0.46,2,319
Beautiful Astoria apt next to Mtan,24009463,Vadim,Queens,Astoria,40.76794,-73.93413,Entire home/apt,150,3,149,7/6/2019,2.71,2,133
Cozy apartment in Williamsburg,3123405,PÃ©nÃ©lope,Brooklyn,Williamsburg,40.7033,-73.94305,Private room,55,1,4,2/22/2018,0.13,1,0
Gorgeous Parlor Floor Suite near Subway,1755097,Jay,Brooklyn,Bedford-Stuyvesant,40.69084,-73.93079,Entire home/apt,115,2,214,6/21/2019,4.07,2,108
Chic apartment in Brooklyn with stunning view,5552587,Chris,Brooklyn,Bedford-Stuyvesant,40.69492,-73.95839,Private room,99,5,14,9/25/2017,0.25,1,306
Beautiful Apartment in Greenpoint,6569891,Brandon,Brooklyn,Greenpoint,40.73396,-73.95537,Private room,150,1,0,,,1,0
"Sunny/Huge private room, by Columbia/Jazz clubs",23974215,Alex,Manhattan,Harlem,40.80649,-73.95225,Private room,84,2,38,6/15/2019,0.68,2,147
Elite Exclusive Chic NYC Times Square LuxuryApt,14380678,S Barn,Manhattan,Hell's Kitchen,40.76195,-74.00001,Private room,129,2,13,6/27/2019,0.27,1,176
"Private room, minutes from subway!",3571821,Andy & Friends,Brooklyn,Bedford-Stuyvesant,40.68951,-73.9565,Private room,44,5,86,12/31/2017,1.67,4,0
Comfortable Greenpoint Bedroom,24020898,Rebekah,Brooklyn,Greenpoint,40.72499,-73.94481,Private room,55,6,0,,,1,0
Charming Studio in Carroll Gardens,6470787,Franklin,Brooklyn,Carroll Gardens,40.68244,-73.99539,Entire home/apt,100,3,15,6/13/2016,0.27,1,0
"Small, Cozy, Clean and Modern private room!",23355801,Andrey,Manhattan,Harlem,40.8257,-73.93786,Private room,65,1,40,6/25/2019,2.88,1,45
Room in queens covenient safe locat,24030482,Eddie,Queens,Bellerose,40.72401,-73.72901,Private room,99,1,3,5/19/2019,0.23,1,365
Cozy Loft-Style Studio Near Subway ,17281607,Alexis,Manhattan,Harlem,40.80297,-73.95537,Entire home/apt,100,7,2,1/5/2016,0.04,1,0
Spacious 2 BDRM near Times Square,5025692,Annika,Manhattan,Hell's Kitchen,40.7616,-73.99677,Entire home/apt,225,5,13,9/28/2018,0.24,1,0
Spacious Bright and Airy,16035346,Jonathan,Brooklyn,Windsor Terrace,40.65057,-73.97858,Entire home/apt,120,7,23,1/5/2019,0.41,1,196
Quiet 1 Bedroom near Union Square,6694436,Itai,Manhattan,Gramercy,40.73533,-73.98384,Entire home/apt,139,2,5,5/10/2016,0.11,1,0
NEW! 2-BR Apt with Whirlpool Tub,13347167,AFI Apartments,Manhattan,Upper East Side,40.77167,-73.95735,Entire home/apt,142,30,3,12/31/2018,0.09,29,321
Great one bedroom loft space in Manhattan,8555319,Simsim,Manhattan,Chinatown,40.71399,-73.99744,Entire home/apt,140,4,13,4/29/2019,0.65,1,0
"Brooklyn Life, Easy to Manhattan (30+ Days only)",10992588,Joni,Brooklyn,Bedford-Stuyvesant,40.68797,-73.94696,Entire home/apt,130,200,271,7/3/2019,4.84,2,64
Upper East Side,24046558,M David,Manhattan,Upper East Side,40.76358,-73.96464,Entire home/apt,325,5,64,6/8/2019,1.15,1,330
2 Bedroom New York Charmer,16927633,Lee,Manhattan,Hell's Kitchen,40.76198,-73.98718,Entire home/apt,350,2,9,7/12/2016,0.21,1,0
Hip&Central! Charming Williamsburg!,805843,Johnny,Brooklyn,Williamsburg,40.71745,-73.95961,Entire home/apt,175,2,5,1/6/2017,0.12,1,0
Private Room with Queen size bed,22827111,Matthew & Marilyn,Manhattan,Hell's Kitchen,40.76025,-73.99555,Private room,89,4,59,6/30/2019,1.06,2,286
